"srx.enbkh","pr5.thlon","144583.0","pr2.hobir"
"pr2.thlon","pr2.hobir","106180.0","pr5.hobir"
"srx.ndwma","pr2.thlon","376292.0","pr5.bllon"
"cx.mcdn.bllon","ar11-cdn.bllon","55174.28571428571","cx.mcdn.enbgk"
"pr5.hobir","pr5.bllon","133440.0","pr2.hobir"
"srx.enram","pr5.bllon","78257.0","pr2.hobir"
"cx.mcdn.enbgk","ar11-cdn.enbgk","53442.857142857145","cx.mcdn.bllon"
"cx.mcdn.enlba","ar11-cdn.enlba","53102.857142857145","cx.mcdn.bllon"
"cx.mcdn.enlcs","ar11-cdn.enlcs","33342.857142857145","cx.mcdn.bllon"
"srx.eneve","pr2.bllon","20404.0","pr5.hobir"
"cx.mcdn.enyrk","ar11-cdn.enyrk","28552.857142857145","cx.mcdn.bllon"
"cx.mcdn.hobir","ar11-cdn.hobir","49452.857142857145","cx.mcdn.bllon"
"srx.encdf","pr2.hobir","199725.0","pr5.bllon"
"cx.mcdn.thlon","ar14-cdn.thlon","33362.857142857145","cx.mcdn.bllon"
"cx.ntf.bllon","ar11-cdn.bllon","73173.33333333331","cx.ntf.hobir"
"cx.ntf.enbgk","ar11-cdn.enbgk","62343.333333333336","cx.ntf.hobir"
"cx.ntf.enlba","ar11-cdn.enlba","111503.33333333333","cx.ntf.hobir"
"cx.ntf.enlcs","ar11-cdn.enlcs","56013.333333333336","cx.ntf.hobir"
"cx.ntf.hobir","ar11-cdn.hobir","124128.33333333334","cx.ntf.enlba"
"cx.ntf.thlon","ar14-cdn.thlon","74153.33333333333","cx.ntf.hobir"
"srx.txlon","pr2.thlon","13877.0","pr5.bllon"
"cx.vlcx.bllon","ar11-cdn.bllon","59813.333333333336","cx.vlcx.enlba"
"cx.vlcx.enbgk","ar11-cdn.enbgk","36373.333333333336","cx.vlcx.enlba"
"cx.vlcx.encax","ar11-cdn.encax","34033.33333333333","cx.vlcx.enlba"
"cx.vlcx.enlba","ar11-cdn.enlba","61321.66666666667","cx.vlcx.bllon"
"cx.vlcx.enlcs","ar11-cdn.enlcs","33373.333333333336","cx.vlcx.enlba"
"cx.vlcx.hobir","ar11-cdn.hobir","51393.333333333336","cx.vlcx.enlba"
"srx.endvz","pr2.hobir","13486.0","pr5.bllon"
"px1.amzn.thlon","er13.thlon","176694.0","px2.amzn.enslo"
"pr2.bllon","er13.thlon","430137.0","er12.thlon"
"sr10.enbel","pr2.bllon","35591.0","er12.thlon"
"px.tt.thlon","er13.thlon","1511821.0","er13.thlon"
"px.tt.thlon","er12.thlon","1524194.0","er13.thlon"
"pr5.thlon","er12.thlon","806351.0","er13.thlon"
"sr11.enbel","pr5.thlon","62042.0","pr2.enlba"
"pr5.enlba","er12.thlon","682213.0","er13.thlon"
"pr5.bllon","er12.thlon","871415.0","er13.thlon"
"pr5.hobir","er12.thlon","659764.0","er13.thlon"
"pr2.enlba","er13.thlon","745208.0","er12.thlon"
"srx.encax","pr2.enlba","23891.0","pr5.hobir"
"pr2.hobir","er13.thlon","1100443.0","er12.thlon"
"pr2.thlon","er13.thlon","743955.0","er12.thlon"
"srx.enfol","pr5.thlon","0","Vanilla"
"srx.enhmi","pr5.thlon","61278.0","pr2.bllon"
"srx.enmid","pr2.hobir","71870.0","pr5.enlba"
"srx.enmik","pr5.thlon","123323.0","pr2.hobir"
"srx.ennrw","pr2.thlon","68340.0","pr5.enlba"
"srx.enpet","pr5.thlon","101506.0","pr2.enlba"
"srx.enrdn","pr2.thlon","106840.0","pr5.bllon"
"srx.enslo","pr2.thlon","59405.0","pr5.bllon"
"srx.enwrk","pr5.thlon","81010.0","pr2.hobir"
"srx.pomnc","pr2.hobir","114644.0","pr5.enlba"
"srx.syost","pr2.thlon","206570.0","pr5.bllon"
"px1.appl.thlon","er12.thlon","92457.20000000001","px.appl.enslo"
"sr10.enbel","pr5.thlon","35591.0","pr2.bllon"
"srx.bllon","pr5.bllon","256312.0","pr2.bllon"
"srx.enedi","pr5.hobir","112416.0","pr2.enlba"
"srx.engta","pr5.enlba","35710.0","pr2.hobir"
"srx.enlba","pr5.enlba","162371.0","pr2.enlba"
"srx.enlpl","pr5.enlba","148550.0","pr2.hobir"
"srx.enncl","pr5.hobir","145630.0","pr2.enlba"
"srx.enntg","pr5.thlon","135030.0","pr2.enlba"
"srx.enshf","pr5.thlon","125539.0","pr2.enlba"
"srx.enyrk","pr5.hobir","73280.0","pr2.enlba"
"srx.fnbsh","pr5.thlon","121629.0","pr2.bllon"
"srx.hobir","pr5.hobir","140214.0","pr2.hobir"
"srx.thlon","pr5.thlon","182760.0","pr2.thlon"
"px1.bbc.thlon","er12.thlon","18079.0","dx.octo.thlon"
"px1.cflr.thlon","er12.thlon","11712.0","dx.octo.thlon"
"px1.edge.thlon","er12.thlon","361953.0","px2.edge.thlon"
"px1.fcbk.thlon","er12.thlon","321781.4799999998","px2.fcbk.thlon"
"px1.goog.thlon","er12.thlon","320473.5","px.goog.enslo"
"px1.jtv.thlon","er12.thlon","23780.0","dx.octo.thlon"
"px1.lime.enslo","er12.enslo","78641.6","px2.lime.thlon"
"pr2.bllon","er12.enslo","164567.96000000002","px1.fcbk.thlon"
"pr5.thlon","er12.enslo","194829.0","pr2.bllon"
"pr5.enlba","er12.enslo","175364.0","pr2.hobir"
"pr5.bllon","er12.enslo","201104.0","pr2.thlon"
"pr5.hobir","er12.enslo","216805.0","pr2.enlba"
"pr2.enlba","er12.enslo","271523.0","pr5.thlon"
"pr2.hobir","er12.enslo","318433.0","pr5.bllon"
"pr2.thlon","er12.enslo","283194.0","pr5.hobir"
"px1.lime.thlon","er12.thlon","103808.39999999998","px2.lime.thlon"
"px1.vlv.thlon","er12.thlon","58299.0","dx.octo.thlon"
"px2.amzn.enslo","er12.enslo","244154.48","px1.amzn.thlon"
"px2.appl.thlon","er13.thlon","269142.89999999997","px.appl.enslo"
"px2.bbc.thlon","er13.thlon","16801.0","dx.octo.thlon"
"px2.cflr.thlon","er13.thlon","11734.0","dx.octo.thlon"
"px2.edge.thlon","er13.thlon","361953.0","px1.edge.thlon"
"px2.fcbk.thlon","er13.thlon","263292.98","px.fcbk.enslo"
"px2.goog.thlon","er13.thlon","225204.5","px.goog.enslo"
"px2.jtv.thlon","er13.thlon","20848.0","dx.octo.thlon"
"px2.lime.thlon","er13.thlon","165854.05","px1.lime.thlon"
"px2.vlv.thlon","er13.thlon","53482.0","dx.octo.thlon"
"px.aanp.enslo","er12.enslo","131861.19999999998","px.aanp.thlon"
"px.aanp.thlon","er12.thlon","264372.8","px.aanp.enslo"
"px.appl.enslo","er12.enslo","251978.52000000002","px2.appl.thlon"
"px.fast.enslo","er12.enslo","27278.0","dx.octo.thlon"
"px.fcbk.enslo","er12.enslo","299494.83999999997","px1.fcbk.thlon"
"px.gmbh.thlon","er13.thlon","113832.0","dx.octo.thlon"
"px.goog.enslo","er12.enslo","337314.45","px1.goog.thlon"
"px.hwnd.thlon","er12.thlon","207489.0","dx.octo.thlon"
"px.linx.enslo","er12.enslo","27619.40000000001","px.lnap.thlon"
"px.linx.thlon","er12.thlon","179006.59999999998","px.lnap.thlon"
"px.lnap.thlon","er13.thlon","116784.35","px.linx.thlon"
"px.lswb.thlon","er12.thlon","18249.0","dx.octo.thlon"
"px.m247.thlon","er12.thlon","13258.0","dx.octo.thlon"
"px.msft.enslo","er12.enslo","98958.0","dx.octo.thlon"
"px.ntf.thlon","er12.thlon","53400.0","dx.octo.thlon"
"px.ovh.thlon","er12.thlon","42536.0","dx.octo.thlon"
"tx.l3.enslo","er12.enslo","183631.0","tx.l3.thlon"
"tx.l3.thlon","er13.thlon","183631.0","tx.l3.enslo"
"tx.ntt.enslo","er12.enslo","268699.0","tx.ntt.thlon"
"tx.ntt.thlon","er13.thlon","313668.0","px2.amzn.enslo"
"tx.tnet.enslo","er12.enslo","105451.35","px.linx.thlon"
"tx.tnet.thlon","er13.thlon","104782.0","tx.tnet.enslo"
"srx.enboh","pr5.thlon","113358.0","pr2.bllon"
"srx.encvt","pr5.thlon","54387.0","pr2.hobir"
"srx.ennby","pr5.hobir","18717.0","pr2.bllon"
"srx.ensts","pr5.enlba","72413.0","pr2.hobir"
"srx.entau","pr5.bllon","101298.0","pr2.hobir"
"srx.sycwr","pr5.thlon","89357.0","pr2.bllon"
"srx.enabd","pr2.hobir","64124.0","pr5.enlba"
"pr5.thlon","pr2.thlon","188740.0","pr5.bllon"
"srx.enbgk","pr2.hobir","91062.0","pr5.bllon"
"srx.enbtr","pr2.thlon","26180.0","pr5.hobir"
"srx.enexe","pr2.hobir","121140.0","pr5.bllon"
"srx.enfol","pr2.bllon","0","Vanilla"
"srx.englw","pr2.hobir","136253.0","pr5.enlba"
"srx.eninc","pr2.enlba","180960.0","pr5.hobir"
"srx.enlcs","pr2.thlon","156935.0","pr5.hobir"
"srx.enply","pr2.hobir","56937.0","pr5.bllon"
"srx.enspc","pr2.enlba","48361.0","pr5.hobir"
"srx.enwkg","pr2.hobir","75811.0","pr5.bllon"
"srx.sabir","pr2.thlon","77703.0","pr5.hobir"
"srx.enbas","pr2.enlba","130665.0","pr5.thlon"
"srx.enwhv","pr2.enlba","30278.0","pr5.hobir"
"pr2.hobir","pr2.bllon","208700.0","pr5.bllon"
"pr2.hobir","ar11-cdn.enyrk","82100.0","pr2.enlba"
"pr5.enlba","ar11-cdn.encax","49590.0","pr5.hobir"
"pr2.thlon","ar11-cdn.enlcs","140620.0","pr2.bllon"
"pr5.thlon","ar11-cdn.enbgk","158420.0","pr5.bllon"
"pr5.thlon","pr5.hobir","92080.0","pr2.hobir"
"pr5.thlon","pr5.enlba","107930.0","pr2.enlba"
"pr2.thlon","pr2.enlba","124770.0","pr5.enlba"
