"Node","RemoteNode","IGP","NormTraffic","WCTFailures","WCTraffic"
"er12.thlon","px1.jtv.thlon","1.0","0.0","none","0.0"
"pr5.hobir","pr5.thlon","1250.0","0.0","['pr2.hobir']","42840.0"
"px2.jtv.thlon","er13.thlon","1.0","34202.0","['er12.thlon', 'px1.jtv.thlon']","70300.0"
"srx.thlon","pr5.thlon","10000.0","0.0","none","0.0"
"ar11-cdn.hobir","cx.vlcx.hobir","1.0","0.0","none","0.0"
"pr2.hobir","srx.enmik","10290.0","50112.0","['pr5.thlon']","148049.0"
"srx.enfol","pr2.bllon","10239.0","0.0","none","0.0"
"srx.hobir","pr5.hobir","10000.0","0.0","none","0.0"
"srx.enabd","pr2.hobir","10800.0","0.0","none","0.0"
"srx.enmik","pr5.thlon","10070.0","0.0","none","0.0"
"pr5.hobir","ar11-cdn.hobir","100000.0","0.0","none","0.0"
"pr5.thlon","srx.enbas","10050.0","144312.0","none","0.0"
"srx.enyrk","pr5.hobir","10590.0","0.0","none","0.0"
"cx.vlcx.bllon","ar11-cdn.bllon","1.0","142490.0","['ar11-cdn.hobir', 'cx.vlcx.hobir']","160680.0"
"er12.enslo","px.itran.enslo","1.0","0.0","none","0.0"
"pr2.bllon","srx.fnbsh","10140.0","78340.5","['pr5.thlon']","134379.0"
"srx.enply","pr2.hobir","10500.0","0.0","none","0.0"
"pr5.enlba","srx.ennrw","10230.0","38489.0","['pr2.thlon']","74125.0"
"srx.enwkg","pr2.hobir","10190.0","0.0","none","0.0"
"cx.goog.enlcs","ar11-cdn.enlcs","1.0","35430.0","['ar11-cdn.hobir', 'cx.goog.hobir']","50931.0"
"pr2.enlba","srx.enspc","10390.0","9146.0","['pr5.hobir']","55890.0"
"pr5.hobir","pr5.bllon","1210.0","0.0","['pr2.hobir']","212820.0"
"srx.enwhv","pr5.hobir","10500.0","0.0","none","0.0"
"cx.vlcx.enbgk","ar11-cdn.enbgk","1.0","22600.0","['ar11-cdn.bllon', 'cx.vlcx.bllon']","51098.0"
"pr2.hobir","ar11-cdn.enyrk","100000.0","0.0","none","0.0"
"er12.enslo","px.msft.enslo","1.0","0.0","none","0.0"
"pr5.thlon","sr10.enbel","10800.0","31318.0","['pr2.bllon']","58187.0"
"er12.enslo","srx.enslo","100000.0","0.0","none","0.0"
"er12.thlon","px1.fcbk.thlon","1.0","0.0","none","0.0"
"pr2.thlon","srx.enrdn","10080.0","72411.0","['pr5.bllon']","116437.0"
"pr2.enlba","srx.ennth","10100.0","16122.0","['pr5.hobir']","24032.0"
"pr5.hobir","srx.ennth","10100.0","7910.0","['pr2.enlba']","24032.0"
"cx.l3g.bllon","ar11-cdn.bllon","1.0","85260.0","['ar11-cdn.hobir', 'cx.l3g.hobir']","116330.0"
"cx.aanp.enlcs","ar11-cdn.enlcs","1.0","24650.0","['ar11-cdn.hobir', 'cx.aanp.hobir']","37333.0"
"ar11-cdn.enlba","pr5.enlba","100000.0","209055.0","['pr2.enlba']","394700.0"
"pr2.thlon","ar11-cdn.enlcs","100000.0","0.0","none","0.0"
"pr5.bllon","er12.enslo","10000.0","0.0","none","0.0"
"pr5.hobir","srx.sabir","10130.0","65157.0","['pr2.thlon']","86074.0"
"pr2.enlba","ar11-cdn.enlba","100000.0","0.0","none","0.0"
"pr5.hobir","er12.enslo","10000.0","0.0","none","0.0"
"cx.vlcx.enlcs","ar11-cdn.enlcs","1.0","30000.0","['ar11-cdn.bllon', 'cx.vlcx.bllon']","58498.0"
"er12.enslo","pr2.bllon","10000.0","111692.0","['er13.thlon']","175726.5"
"pr2.enlba","er12.enslo","10000.0","0.0","none","0.0"
"srx.englw","pr5.enlba","10260.0","0.0","none","0.0"
"srx.sabir","pr2.thlon","10170.0","0.0","none","0.0"
"srx.enboh","pr5.thlon","10200.0","0.0","none","0.0"
"srx.enbtr","pr2.thlon","10200.0","0.0","none","0.0"
"pr5.thlon","srx.enshf","10430.0","48017.0","['pr2.enlba']","146945.0"
"pr2.hobir","srx.enlpl","10140.0","120216.0","[['pr5.enlba'], ['Seg_encmg-th_n', 'Seg_enlba-enshf', 'Seg_enlcs-enpet', 'Seg_enntg-enlcs', 'Seg_enpet-encmg', 'Seg_enshf-enntg', 'Si_encmg', 'Si_enlcs', 'Si_enntg', 'Si_enpet', 'Si_enshf']]","172140.0"
"pr5.enlba","srx.enmid","10081.0","82943.0","none","0.0"
"srx.enbas","pr2.enlba","10700.0","0.0","none","0.0"
"er12.enslo","px1.lime.enslo","1.0","0.0","none","0.0"
"sr10.enbel","pr2.bllon","10800.0","0.0","none","0.0"
"pr2.hobir","srx.enkmk","10340.0","7327.0","['pr5.enlba']","47505.0"
"px.itran.enslo","er12.enslo","1.0","0.0","none","0.0"
"pr2.bllon","srx.enhmi","10040.0","22140.0","['pr5.thlon']","68571.0"
"pr2.hobir","srx.endvz","10150.0","7544.0","['pr5.bllon']","13602.0"
"er12.thlon","pr5.bllon","10000.0","458746.0","['er13.thlon']","606557.0"
"pr2.hobir","srx.englw","10370.0","46821.0","['pr5.enlba']","185253.0"
"pr5.thlon","srx.thlon","10000.0","136564.5","['pr2.thlon']","208229.0"
"er13.thlon","pr2.bllon","10000.0","201818.0","['pr2.hobir']","395039.0"
"pr2.hobir","srx.enabd","10800.0","17321.0","['pr5.enlba']","64040.0"
"pr5.bllon","srx.txlon","10010.0","7305.5","['pr2.thlon']","14604.0"
"srx.enswa","pr2.hobir","10250.0","0.0","none","0.0"
"er12.enslo","px.appl.enslo","1.0","0.0","none","0.0"
"pr5.hobir","srx.enbrs","10230.0","58285.0","[['pr2.bllon'], ['Seg_bllon-th_e61']]","79564.0"
"px.gmbh.thlon","er13.thlon","1.0","6838.0","none","0.0"
"srx.enips","pr2.thlon","10083.0","0.0","none","0.0"
"pr2.enlba","srx.mimnc","10113.0","108965.0","[['pr5.hobir'], ['Seg_enhmi-th_w140', 'Seg_hobir-sabir', 'Si_sabir']]","159388.0"
"px1.amzn.thlon","er13.thlon","1.0","147330.0","['er12.enslo', 'px2.amzn.enslo']","247451.0"
"srx.enkmk","pr2.hobir","10340.0","0.0","none","0.0"
"srx.enwkg","pr5.bllon","10043.0","0.0","none","0.0"
"px2.lime.thlon","er13.thlon","1.0","82373.0","['er12.thlon', 'px1.lime.thlon']","153081.0"
"pr5.bllon","pr2.bllon","400.0","7360.0","['pr5.thlon']","162910.0"
"pr5.thlon","pr5.bllon","1010.0","0.0","['pr2.thlon']","81050.0"
"er12.thlon","px1.lime.thlon","1.0","0.0","none","0.0"
"srx.encnk","pr2.hobir","10032.0","0.0","none","0.0"
"ar11-cdn.enlcs","pr2.thlon","100000.0","134620.0","['ar11-cdn.hobir']","181947.0"
"ar14-cdn.thlon","cx.aanp.thlon","1.0","0.0","none","0.0"
"ar11-cdn.enlcs","cx.aanp.enlcs","1.0","0.0","none","0.0"
"pr5.bllon","srx.enwkg","10043.0","61042.0","[['pr2.hobir'], ['Seg_enbkh-enhmi', 'Seg_enhmi-th_w140', 'Seg_enmik-enbkh', 'Seg_ennrt-enmik', 'Seg_enwrk-ennrt', 'Seg_hobir-sabir', 'Seg_sabir-enwrk', 'Seg_th_w140-th_e61', 'Si_enbkh', 'Si_enhmi', 'Si_enmik', 'Si_ennrt', 'Si_enwrk', 'Si_sabir']]","80411.0"
"srx.ensts","pr5.enlba","10120.0","0.0","none","0.0"
"pr2.hobir","srx.entau","10240.0","114687.0","none","0.0"
"px.goog.enslo","er12.enslo","1.0","172761.0","['er13.thlon', 'px2.goog.thlon']","302918.0"
"pr5.enlba","pr5.hobir","1020.0","10580.0","['pr2.enlba']","112380.0"
"pr2.hobir","srx.pomnc","10070.0","74757.0","['pr5.enlba']","136856.0"
"px1.goog.thlon","er12.thlon","1.0","200176.0","['er12.enslo', 'px.goog.enslo']","277892.0"
"pr5.enlba","srx.enlpl","10480.0","51924.0","['pr2.hobir']","172140.0"
"pr5.thlon","ar11-cdn.enbgk","100000.0","0.0","none","0.0"
"px.fast.enslo","er12.enslo","1.0","23080.0","none","0.0"
"px2.goog.thlon","er13.thlon","1.0","178333.0","['er12.enslo', 'px.goog.enslo']","273319.0"
"srx.thlon","pr2.thlon","10000.0","0.0","none","0.0"
"px.spfy.enslo","er12.enslo","1.0","0.0","none","0.0"
"srx.enkmk","pr5.enlba","10280.0","0.0","none","0.0"
"pr5.thlon","ar14-cdn.thlon","100000.0","0.0","none","0.0"
"cx.aanp.hobir","ar11-cdn.hobir","1.0","90410.0","['ar14-cdn.thlon', 'cx.aanp.thlon']","100130.0"
"px2.appl.thlon","er13.thlon","1.0","229465.0","['er12.enslo', 'px.appl.enslo']","323350.0"
"srx.enlba","pr2.enlba","10000.0","0.0","none","0.0"
"pr2.enlba","srx.enbas","10700.0","0.0","['pr5.thlon']","85572.0"
"pr5.bllon","srx.encdf","10210.0","62295.0","['pr2.hobir']","199228.0"
"srx.ennth","pr5.hobir","10100.0","0.0","none","0.0"
"srx.enntg","pr5.thlon","10330.0","0.0","none","0.0"
"srx.enlcs","pr5.hobir","10130.0","0.0","none","0.0"
"er12.thlon","px.linx.thlon","1.0","0.0","none","0.0"
"px2.tt.thlon","er13.thlon","1.0","0.0","none","0.0"
"pr5.enlba","srx.enabd","10600.0","46719.0","[['pr2.hobir'], ['Seg_enhmi-th_w140', 'Seg_hobir-sabir', 'Seg_th_w140-th_e61', 'Si_sabir']]","64040.0"
"pr5.hobir","srx.enbtr","10050.0","23437.0","['pr2.thlon']","29952.0"
"px1.bbc.thlon","er12.thlon","1.0","22606.0","none","0.0"
"er13.thlon","px.srvr.thlon","1.0","0.0","none","0.0"
"srx.ndwma","pr2.thlon","10100.0","0.0","none","0.0"
"srx.enwhv","pr2.enlba","11000.0","0.0","none","0.0"
"ar14-cdn.thlon","pr2.thlon","100000.0","134300.0","['pr5.thlon']","251330.0"
"pr5.hobir","srx.encax","10400.0","26810.0","['pr2.enlba']","28820.0"
"pr5.bllon","srx.bllon","10000.0","135419.5","['pr2.bllon']","192436.0"
"pr5.enlba","srx.ensts","10120.0","34814.0","['pr2.hobir']","86450.0"
"srx.enlcs","pr2.thlon","10260.0","0.0","none","0.0"
"srx.enexe","pr5.bllon","10480.0","0.0","none","0.0"
"srx.encmg","pr2.thlon","10060.0","0.0","none","0.0"
"srx.endnd","pr5.enlba","10540.0","0.0","none","0.0"
"cx.l3.enlba","ar11-cdn.enlba","1.0","4890.0","['ar11-cdn.hobir', 'cx.l3.hobir']","6191.0"
"pr2.bllon","er14.bllon","10000.0","0.0","none","0.0"
"srx.encdf","pr5.bllon","10210.0","0.0","none","0.0"
"pr5.thlon","er14.thlon","10000.0","0.0","none","0.0"
"pr2.thlon","srx.txlon","10010.0","7298.5","['pr5.bllon']","14604.0"
